Time,SigA,SigB,SigC,SigD
0.67,67,-67,6.7,-6.7
0.68,68,-68,6.8,-6.8
0.69,69,-69,6.9,-6.9
0.7,70,-70,7,-7
0.71,71,-71,7.1,-7.1
0.72,72,-72,7.2,-7.2
0.73,73,-73,7.3,-7.3
0.74,74,-74,7.4,-7.4
0.75,75,-75,7.5,-7.5
0.76,76,-76,7.6,-7.6
0.77,77,-77,7.7,-7.7
0.78,78,-78,7.8,-7.8
0.79,79,-79,7.9,-7.9
0.8,80,-80,8,-8
0.81,81,-81,8.1,-8.1
0.82,82,-82,8.2,-8.2
0.83,83,-83,8.3,-8.3
0.84,84,-84,8.4,-8.4
0.85,85,-85,8.5,-8.5
0.86,86,-86,8.6,-8.6
0.87,87,-87,8.7,-8.7
0.88,88,-88,8.8,-8.8
0.89,89,-89,8.9,-8.9
0.9,90,-90,9,-9
0.91,91,-91,9.1,-9.1
0.92,92,-92,9.2,-9.2
0.93,93,-93,9.3,-9.3
0.94,94,-94,9.4,-9.4
0.95,95,-95,9.5,-9.5
0.96,96,-96,9.6,-9.6
0.97,97,-97,9.7,-9.7
0.98,98,-98,9.8,-9.8
0.99,99,-99,9.9,-9.9
1,100,-100,10,-10
1.01,101,-101,10.1,-10.1
1.02,102,-102,10.2,-10.2
1.03,103,-103,10.3,-10.3
1.04,104,-104,10.4,-10.4
1.05,105,-105,10.5,-10.5
1.06,106,-106,10.6,-10.6
1.07,107,-107,10.7,-10.7
1.08,108,-108,10.8,-10.8
1.09,109,-109,10.9,-10.9
1.1,110,-110,11,-11
1.11,111,-111,11.1,-11.1
1.12,112,-112,11.2,-11.2
1.13,113,-113,11.3,-11.3
1.14,114,-114,11.4,-11.4
1.15,115,-115,11.5,-11.5
1.16,116,-116,11.6,-11.6
1.17,117,-117,11.7,-11.7
1.18,118,-118,11.8,-11.8
1.19,119,-119,11.9,-11.9
1.2,120,-120,12,-12
1.21,121,-121,12.1,-12.1
1.22,122,-122,12.2,-12.2
1.23,123,-123,12.3,-12.3
1.24,124,-124,12.4,-12.4
1.25,125,-125,12.5,-12.5
1.26,126,-126,12.6,-12.6
1.27,127,-127,12.7,-12.7
1.28,128,-128,12.8,-12.8
1.29,129,-129,12.9,-12.9
1.3,130,-130,13,-13
1.31,131,-131,13.1,-13.1
1.32,132,-132,13.2,-13.2
1.33,133,-133,13.3,-13.3
1.34,134,-134,13.4,-13.4
1.35,135,-135,13.5,-13.5
1.36,136,-136,13.6,-13.6
1.37,137,-137,13.7,-13.7
1.38,138,-138,13.8,-13.8
1.39,139,-139,13.9,-13.9
1.4,140,-140,14,-14
1.41,141,-141,14.1,-14.1
1.42,142,-142,14.2,-14.2
1.43,143,-143,14.3,-14.3
1.44,144,-144,14.4,-14.4
1.45,145,-145,14.5,-14.5
1.46,146,-146,14.6,-14.6
1.47,147,-147,14.7,-14.7
1.48,148,-148,14.8,-14.8
1.49,149,-149,14.9,-14.9
1.5,150,-150,15,-15
1.51,151,-151,15.1,-15.1
1.52,152,-152,15.2,-15.2
1.53,153,-153,15.3,-15.3
1.54,154,-154,15.4,-15.4
1.55,155,-155,15.5,-15.5
1.56,156,-156,15.6,-15.6
1.57,157,-157,15.7,-15.7
1.58,158,-158,15.8,-15.8
1.59,159,-159,15.9,-15.9
1.6,160,-160,16,-16
1.61,161,-161,16.1,-16.1
1.62,162,-162,16.2,-16.2
1.63,163,-163,16.3,-16.3
1.64,164,-164,16.4,-16.4
1.65,165,-165,16.5,-16.5
1.66,166,-166,16.6,-16.6
1.67,167,-167,16.7,-16.7
1.68,168,-168,16.8,-16.8
1.69,169,-169,16.9,-16.9
1.7,170,-170,17,-17
1.71,171,-171,17.1,-17.1
1.72,172,-172,17.2,-17.2
1.73,173,-173,17.3,-17.3
1.74,174,-174,17.4,-17.4
1.75,175,-175,17.5,-17.5
1.76,176,-176,17.6,-17.6
1.77,177,-177,17.7,-17.7
1.78,178,-178,17.8,-17.8
1.79,179,-179,17.9,-17.9
1.8,180,-180,18,-18
1.81,181,-181,18.1,-18.1
1.82,182,-182,18.2,-18.2
1.83,183,-183,18.3,-18.3
1.84,184,-184,18.4,-18.4
1.85,185,-185,18.5,-18.5
1.86,186,-186,18.6,-18.6
1.87,187,-187,18.7,-18.7
1.88,188,-188,18.8,-18.8
1.89,189,-189,18.9,-18.9
1.9,190,-190,19,-19
1.91,191,-191,19.1,-19.1
1.92,192,-192,19.2,-19.2
1.93,193,-193,19.3,-19.3
1.94,194,-194,19.4,-19.4
1.95,195,-195,19.5,-19.5
1.96,196,-196,19.6,-19.6
1.97,197,-197,19.7,-19.7
1.98,198,-198,19.8,-19.8
1.99,199,-199,19.9,-19.9
2,200,-200,20,-20
2.01,201,-201,20.1,-20.1
2.02,202,-202,20.2,-20.2
2.03,203,-203,20.3,-20.3
2.04,204,-204,20.4,-20.4
2.05,205,-205,20.5,-20.5
2.06,206,-206,20.6,-20.6
2.07,207,-207,20.7,-20.7
2.08,208,-208,20.8,-20.8
2.09,209,-209,20.9,-20.9
2.1,210,-210,21,-21
2.11,211,-211,21.1,-21.1
2.12,212,-212,21.2,-21.2
2.13,213,-213,21.3,-21.3
2.14,214,-214,21.4,-21.4
2.15,215,-215,21.5,-21.5
2.16,216,-216,21.6,-21.6
2.17,217,-217,21.7,-21.7
2.18,218,-218,21.8,-21.8
2.19,219,-219,21.9,-21.9
2.2,220,-220,22,-22
2.21,221,-221,22.1,-22.1
2.22,222,-222,22.2,-22.2
2.23,223,-223,22.3,-22.3
2.24,224,-224,22.4,-22.4
2.25,225,-225,22.5,-22.5
2.26,226,-226,22.6,-22.6
2.27,227,-227,22.7,-22.7
2.28,228,-228,22.8,-22.8
2.29,229,-229,22.9,-22.9
2.3,230,-230,23,-23
2.31,231,-231,23.1,-23.1
2.32,232,-232,23.2,-23.2
2.33,233,-233,23.3,-23.3
2.34,234,-234,23.4,-23.4
2.35,235,-235,23.5,-23.5
2.36,236,-236,23.6,-23.6
2.37,237,-237,23.7,-23.7
2.38,238,-238,23.8,-23.8
2.39,239,-239,23.9,-23.9
2.4,240,-240,24,-24
2.41,241,-241,24.1,-24.1
2.42,242,-242,24.2,-24.2
2.43,243,-243,24.3,-24.3
2.44,244,-244,24.4,-24.4
2.45,245,-245,24.5,-24.5
2.46,246,-246,24.6,-24.6
2.47,247,-247,24.7,-24.7
2.48,248,-248,24.8,-24.8
2.49,249,-249,24.9,-24.9
2.5,250,-250,25,-25
2.51,251,-251,25.1,-25.1
2.52,252,-252,25.2,-25.2
2.53,253,-253,25.3,-25.3
2.54,254,-254,25.4,-25.4
2.55,255,-255,25.5,-25.5
2.56,256,-256,25.6,-25.6
2.57,257,-257,25.7,-25.7
2.58,258,-258,25.8,-25.8
2.59,259,-259,25.9,-25.9
2.6,260,-260,26,-26
2.61,261,-261,26.1,-26.1
2.62,262,-262,26.2,-26.2
2.63,263,-263,26.3,-26.3
2.64,264,-264,26.4,-26.4
2.65,265,-265,26.5,-26.5
2.66,266,-266,26.6,-26.6
2.67,267,-267,26.7,-26.7
2.68,268,-268,26.8,-26.8
2.69,269,-269,26.9,-26.9
2.7,270,-270,27,-27
2.71,271,-271,27.1,-27.1
2.72,272,-272,27.2,-27.2
2.73,273,-273,27.3,-27.3
2.74,274,-274,27.4,-27.4
2.75,275,-275,27.5,-27.5
2.76,276,-276,27.6,-27.6
2.77,277,-277,27.7,-27.7
2.78,278,-278,27.8,-27.8
2.79,279,-279,27.9,-27.9
2.8,280,-280,28,-28
2.81,281,-281,28.1,-28.1
2.82,282,-282,28.2,-28.2
2.83,283,-283,28.3,-28.3
2.84,284,-284,28.4,-28.4
2.85,285,-285,28.5,-28.5
2.86,286,-286,28.6,-28.6
2.87,287,-287,28.7,-28.7
2.88,288,-288,28.8,-28.8
2.89,289,-289,28.9,-28.9
2.9,290,-290,29,-29
2.91,291,-291,29.1,-29.1
2.92,292,-292,29.2,-29.2
2.93,293,-293,29.3,-29.3
2.94,294,-294,29.4,-29.4
2.95,295,-295,29.5,-29.5
2.96,296,-296,29.6,-29.6
2.97,297,-297,29.7,-29.7
2.98,298,-298,29.8,-29.8
2.99,299,-299,29.9,-29.9
3,300,-300,30,-30
3.01,301,-301,30.1,-30.1
3.02,302,-302,30.2,-30.2
3.03,303,-303,30.3,-30.3
3.04,304,-304,30.4,-30.4
3.05,305,-305,30.5,-30.5
3.06,306,-306,30.6,-30.6
3.07,307,-307,30.7,-30.7
3.08,308,-308,30.8,-30.8
3.09,309,-309,30.9,-30.9
3.1,310,-310,31,-31
